pair_id	rows	cols	config
23622320154	21	2	6
19327352857	34	2	6
45097156622	47	2	6
98784247819	48	2	6
42949672974	53	2	6
100931731466	55	2	6
38654705680	57	2	6
51539607565	58	2	6
36507222033	67	2	6
100931731465	74	2	6
49392123916	81	2	6
103079215113	86	2	6
105226698760	102	2	6
103079215112	119	2	6
2147483657	223	2	6
21474836493	364	2	6
4294967304	390	2	6
6442450951	436	2	6
8589934598	467	2	6
21474836485	509	2	6
21474836491	512	2	6
21474836486	543	2	6
38654705670	906	2	6
34359738377	941	2	6
36507222023	962	2	6
45097156612	1060	2	6
40802189316	1185	2	6
38654705669	1212	2	6
47244640259	1284	2	6
36507222022	1290	2	6
42949672963	1312	2	6
45097156610	1522	2	6
40802189315	1621	2	6
42949672962	1741	2	6
94489280515	2211	2	6
90194313218	2286	2	6
90194313219	2552	2	6
94489280514	2685	2	6
96636764162	2863	2	6
92341796865	2946	2	6
94489280513	3050	2	6
81604378640	15	2	3
81604378639	15	2	3
79456894996	15	2	3
77309411347	15	2	3
75161927699	15	2	3
75161927697	15	2	3
64424509452	15	2	3
62277025811	15	2	3
57982058521	15	2	3
57982058516	15	2	3
57982058512	15	2	3
57982058510	15	2	3
55834574863	15	2	3
53687091220	15	2	3
51539607568	15	2	3
49392123930	15	2	3
49392123924	15	2	3
49392123921	15	2	3
47244640280	15	2	3
47244640276	15	2	3
47244640273	15	2	3
45097156629	15	2	3
45097156627	15	2	3
42949672981	15	2	3
40802189341	15	2	3
34359738394	15	2	3
32212254747	15	2	3
30064771106	15	2	3
27917287460	15	2	3
27917287459	15	2	3
25769803803	15	2	3
23622320164	15	2	3
23622320159	15	2	3
21474836515	15	2	3
21474836513	15	2	3
21474836505	15	2	3
19327352865	15	2	3
17179869223	15	2	3
15032385577	15	2	3
12884901926	15	2	3
12884901925	15	2	3
79456894995	16	2	3
75161927700	16	2	3
70866960402	16	2	3
68719476754	16	2	3
66571993107	16	2	3
53687091225	16	2	3
53687091215	16	2	3
51539607577	16	2	3
51539607576	16	2	3
51539607575	16	2	3
