pair_id	rows	cols	config
62277025816	69	2	6
64424509464	94	2	6
2147483666	15	2	3
2147483688	15	2	3
2147483699	15	2	3
2147483711	15	2	3
4294967310	15	2	3
4294967348	15	2	3
4294967356	15	2	3
8589934647	15	2	3
8589934650	15	2	3
10737418291	15	2	3
10737418298	15	2	3
12884901938	15	2	3
12884901943	15	2	3
15032385570	15	2	3
15032385595	15	2	3
17179869213	15	2	3
17179869222	15	2	3
17179869244	15	2	3
23622320157	15	2	3
23622320187	15	2	3
25769803791	15	2	3
25769803815	15	2	3
27917287439	15	2	3
27917287455	15	2	3
30064771087	15	2	3
30064771088	15	2	3
32212254753	15	2	3
32212254761	15	2	3
32212254783	15	2	3
32212254784	15	2	3
34359738385	15	2	3
34359738397	15	2	3
34359738398	15	2	3
34359738406	15	2	3
36507222032	15	2	3
36507222077	15	2	3
36507222092	15	2	3
40802189323	15	2	3
40802189327	15	2	3
40802189345	15	2	3
40802189386	15	2	3
40802189389	15	2	3
42949673020	15	2	3
42949673021	15	2	3
42949673024	15	2	3
42949673034	15	2	3
42949673036	15	2	3
45097156636	15	2	3
45097156669	15	2	3
45097156675	15	2	3
47244640268	15	2	3
49392123916	15	2	3
49392123917	15	2	3
49392123943	15	2	3
51539607566	15	2	3
51539607583	15	2	3
51539607585	15	2	3
51539607603	15	2	3
53687091231	15	2	3
53687091240	15	2	3
55834574899	15	2	3
57982058535	15	2	3
64424509479	15	2	3
66571993128	15	2	3
66571993131	15	2	3
68719476767	15	2	3
70866960427	15	2	3
73014444073	15	2	3
75161927698	15	2	3
75161927710	15	2	3
75161927729	15	2	3
77309411344	15	2	3
77309411358	15	2	3
79456894992	15	2	3
79456894994	15	2	3
79456895021	15	2	3
81604378668	15	2	3
83751862302	15	2	3
83751862312	15	2	3
85899345962	15	2	3
85899345963	15	2	3
90194313252	15	2	3
92341796895	15	2	3
94489280528	15	2	3
94489280543	15	2	3
96636764198	15	2	3
96636764201	15	2	3
98784247837	15	2	3
100931731485	15	2	3
103079215138	15	2	3
103079215145	15	2	3
103079215146	15	2	3
105226698785	15	2	3
105226698792	15	2	3
105226698793	15	2	3
105226698794	15	2	3
107374182435	15	2	3
107374182437	15	2	3
109521666080	15	2	3
109521666086	15	2	3
111669149740	15	2	3
124554051611	15	2	3
128849018910	15	2	3
128849018914	15	2	3
130996502544	15	2	3
130996502560	15	2	3
137438953503	15	2	3
137438953504	15	2	3
2147483663	16	2	3
2147483709	16	2	3
6442450983	16	2	3
6442451005	16	2	3
8589934642	16	2	3
10737418290	16	2	3
10737418300	16	2	3
17179869211	16	2	3
17179869238	16	2	3
19327352858	16	2	3
21474836517	16	2	3
23622320161	16	2	3
23622320164	16	2	3
25769803807	16	2	3
25769803834	16	2	3
25769803837	16	2	3
32212254750	16	2	3
32212254785	16	2	3
32212254786	16	2	3
34359738380	16	2	3
36507222033	16	2	3
36507222046	16	2	3
36507222068	16	2	3
36507222093	16	2	3
38654705677	16	2	3
38654705692	16	2	3
38654705703	16	2	3
38654705741	16	2	3
40802189328	16	2	3
40802189343	16	2	3
40802189363	16	2	3
42949672972	16	2	3
42949672990	16	2	3
42949673010	16	2	3
42949673026	16	2	3
42949673029	16	2	3
45097156620	16	2	3
47244640267	16	2	3
47244640269	16	2	3
47244640311	16	2	3
47244640316	16	2	3
47244640318	16	2	3
51539607592	16	2	3
53687091232	16	2	3
53687091250	16	2	3
53687091267	16	2	3
57982058528	16	2	3
60129542194	16	2	3
62277025823	16	2	3
64424509471	16	2	3
64424509489	16	2	3
66571993118	16	2	3
68719476784	16	2	3
73014444051	16	2	3
73014444062	16	2	3
75161927709	16	2	3
77309411360	16	2	3
79456894991	16	2	3
79456895017	16	2	3
79456895026	16	2	3
81604378654	16	2	3
83751862286	16	2	3
83751862316	16	2	3
85899345950	16	2	3
85899345973	16	2	3
88046829623	16	2	3
90194313247	16	2	3
90194313254	16	2	3
90194313257	16	2	3
92341796896	16	2	3
92341796899	16	2	3
92341796904	16	2	3
92341796906	16	2	3
92341796907	16	2	3
94489280551	16	2	3
94489280556	16	2	3
96636764189	16	2	3
96636764199	16	2	3
98784247845	16	2	3
100931731484	16	2	3
103079215119	16	2	3
105226698766	16	2	3
105226698767	16	2	3
105226698769	16	2	3
105226698786	16	2	3
109521666091	16	2	3
113816633374	16	2	3
113816633387	16	2	3
115964117025	16	2	3
120259084317	16	2	3
122406567964	16	2	3
126701535261	16	2	3
133143986191	16	2	3
139586437151	16	2	3
2147483668	17	2	3
4294967357	17	2	3
4294967358	17	2	3
4294967359	17	2	3
6442450959	17	2	3
10737418256	17	2	3
10737418257	17	2	3
10737418265	17	2	3
10737418279	17	2	3
15032385589	17	2	3
17179869225	17	2	3
19327352892	17	2	3
21474836521	17	2	3
21474836537	17	2	3
21474836540	17	2	3
23622320144	17	2	3
23622320156	17	2	3
23622320160	17	2	3
25769803816	17	2	3
25769803839	17	2	3
27917287449	17	2	3
27917287451	17	2	3
32212254760	17	2	3
34359738427	17	2	3
34359738431	17	2	3
36507222079	17	2	3
36507222095	17	2	3
38654705739	17	2	3
40802189329	17	2	3
40802189375	17	2	3
40802189380	17	2	3
40802189383	17	2	3
42949673030	17	2	3
45097156637	17	2	3
45097156676	17	2	3
47244640296	17	2	3
49392123932	17	2	3
49392123971	17	2	3
49392123972	17	2	3
51539607564	17	2	3
51539607565	17	2	3
51539607568	17	2	3
53687091214	17	2	3
53687091215	17	2	3
53687091249	17	2	3
55834574889	17	2	3
57982058510	17	2	3
66571993136	17	2	3
73014444063	17	2	3
73014444080	17	2	3
75161927697	17	2	3
77309411343	17	2	3
77309411348	17	2	3
77309411373	17	2	3
79456895023	17	2	3
85899345951	17	2	3
88046829605	17	2	3
90194313245	17	2	3
90194313256	17	2	3
92341796903	17	2	3
92341796908	17	2	3
94489280541	17	2	3
94489280555	17	2	3
96636764211	17	2	3
103079215131	17	2	3
103079215139	17	2	3
103079215147	17	2	3
103079215148	17	2	3
105226698780	17	2	3
107374182443	17	2	3
115964117021	17	2	3
118111600667	17	2	3
122406567952	17	2	3
122406567963	17	2	3
124554051599	17	2	3
124554051609	17	2	3
124554051610	17	2	3
126701535246	17	2	3
130996502562	17	2	3
133143986205	17	2	3
133143986206	17	2	3
135291469853	17	2	3
139586437147	17	2	3
141733920797	17	2	3
141733920798	17	2	3
2147483662	18	2	3
6442450958	18	2	3
6442450997	18	2	3
8589934649	18	2	3
12884901903	18	2	3
12884901945	18	2	3
12884901947	18	2	3
15032385593	18	2	3
15032385594	18	2	3
17179869245	18	2	3
21474836498	18	2	3
21474836506	18	2	3
21474836511	18	2	3
21474836520	18	2	3
25769803802	18	2	3
25769803804	18	2	3
27917287440	18	2	3
27917287463	18	2	3
30064771137	18	2	3
32212254737	18	2	3
34359738433	18	2	3
36507222030	18	2	3
36507222056	18	2	3
36507222057	18	2	3
36507222067	18	2	3
38654705730	18	2	3
42949672976	18	2	3
42949673028	18	2	3
45097156624	18	2	3
45097156648	18	2	3
45097156649	18	2	3
45097156682	18	2	3
47244640271	18	2	3
47244640295	18	2	3
47244640323	18	2	3
47244640324	18	2	3
49392123919	18	2	3
51539607582	18	2	3
51539607602	18	2	3
53687091211	18	2	3
53687091217	18	2	3
55834574864	18	2	3
55834574865	18	2	3
