pair_id	rows	cols	config
8589934645	334	2	2
8589934646	285	2	2
8589934647	241	2	2
8589934648	242	2	2
8589934649	252	2	2
8589934651	231	2	2
8589934652	242	2	2
8589934655	519	2	2
8589934656	666	2	2
8589934657	1023	2	2
8589934658	1356	2	2
8589934659	1787	2	2
8589934660	2082	2	2
8589934661	2362	2	2
8589934662	2834	2	2
10737418247	2967	2	2
10737418248	2517	2	2
10737418249	2230	2	2
10737418250	2060	2	2
10737418251	1801	2	2
10737418252	1603	2	2
10737418253	1433	2	2
10737418254	1276	2	2
10737418255	1140	2	2
10737418256	990	2	2
10737418257	867	2	2
10737418258	770	2	2
10737418259	691	2	2
10737418260	641	2	2
10737418261	573	2	2
10737418262	531	2	2
10737418263	514	2	2
10737418264	463	2	2
10737418265	453	2	2
10737418266	406	2	2
10737418267	362	2	2
10737418268	337	2	2
10737418269	309	2	2
10737418270	290	2	2
10737418271	283	2	2
10737418272	277	2	2
10737418273	282	2	2
10737418274	239	2	2
10737418275	217	2	2
10737418276	177	2	2
10737418277	167	2	2
10737418278	180	2	2
10737418279	208	2	2
10737418280	225	2	2
10737418281	321	2	2
10737418282	242	2	2
10737418283	268	2	2
10737418284	314	2	2
10737418285	321	2	2
10737418286	265	2	2
10737418287	324	2	2
10737418288	359	2	2
10737418289	237	2	2
10737418290	237	2	2
10737418291	202	2	2
10737418292	283	2	2
10737418293	234	2	2
10737418294	206	2	2
10737418295	194	2	2
10737418296	203	2	2
10737418297	69	2	2
10737418298	218	2	2
10737418299	217	2	2
10737418300	196	2	2
10737418302	502	2	2
10737418303	647	2	2
10737418304	951	2	2
10737418305	1277	2	2
10737418306	1721	2	2
10737418307	1976	2	2
10737418308	2203	2	2
10737418309	2636	2	2
10737418310	2976	2	2
12884901895	2741	2	2
12884901896	2405	2	2
12884901897	2169	2	2
12884901898	1941	2	2
12884901899	1725	2	2
12884901900	1525	2	2
12884901901	1436	2	2
12884901902	1239	2	2
12884901903	1104	2	2
12884901904	1045	2	2
12884901905	955	2	2
12884901906	877	2	2
12884901907	798	2	2
12884901908	751	2	2
12884901909	657	2	2
12884901910	653	2	2
12884901911	609	2	2
12884901912	586	2	2
12884901913	552	2	2
12884901914	498	2	2
12884901915	482	2	2
12884901916	423	2	2
12884901917	399	2	2
12884901918	382	2	2
12884901919	360	2	2
12884901920	345	2	2
12884901921	288	2	2
12884901922	265	2	2
12884901923	210	2	2
12884901924	196	2	2
12884901925	218	2	2
12884901926	240	2	2
12884901927	268	2	2
12884901928	363	2	2
12884901929	285	2	2
12884901930	328	2	2
12884901931	376	2	2
12884901932	396	2	2
12884901933	344	2	2
12884901934	411	2	2
12884901935	427	2	2
12884901936	356	2	2
12884901937	360	2	2
12884901938	325	2	2
12884901939	396	2	2
12884901940	365	2	2
12884901941	326	2	2
12884901942	336	2	2
12884901943	372	2	2
12884901949	531	2	2
12884901950	696	2	2
12884901951	1052	2	2
12884901952	1424	2	2
12884901953	1895	2	2
12884901954	2249	2	2
12884901955	2553	2	2
12884901956	3053	2	2
15032385543	2854	2	2
15032385544	2558	2	2
15032385545	2302	2	2
15032385546	2081	2	2
15032385547	1810	2	2
15032385548	1696	2	2
15032385549	1458	2	2
15032385550	1394	2	2
15032385551	1258	2	2
15032385552	1137	2	2
15032385553	1002	2	2
15032385554	933	2	2
15032385555	865	2	2
15032385556	784	2	2
15032385557	751	2	2
15032385558	696	2	2
15032385559	647	2	2
15032385560	602	2	2
15032385561	531	2	2
15032385562	509	2	2
15032385563	465	2	2
15032385564	437	2	2
15032385565	423	2	2
15032385566	402	2	2
15032385567	387	2	2
15032385568	328	2	2
15032385569	283	2	2
15032385570	230	2	2
15032385571	216	2	2
15032385572	236	2	2
15032385573	258	2	2
15032385574	290	2	2
15032385575	359	2	2
15032385576	304	2	2
15032385577	324	2	2
15032385578	354	2	2
15032385579	367	2	2
15032385580	327	2	2
15032385581	376	2	2
15032385582	401	2	2
15032385583	323	2	2
15032385584	307	2	2
15032385585	282	2	2
15032385586	367	2	2
15032385587	346	2	2
15032385588	302	2	2
15032385589	290	2	2
15032385590	324	2	2
15032385591	120	2	2
15032385592	303	2	2
15032385593	309	2	2
15032385595	37	2	2
15032385596	702	2	2
15032385597	902	2	2
15032385598	1283	2	2
15032385599	1684	2	2
15032385600	2236	2	2
15032385601	2650	2	2
15032385602	2972	2	2
17179869191	2992	2	2
17179869192	2657	2	2
17179869193	2437	2	2
17179869194	2132	2	2
17179869195	1983	2	2
17179869196	1754	2	2
17179869197	1609	2	2
17179869198	1488	2	2
17179869199	1326	2	2
17179869200	1186	2	2
17179869201	1080	2	2
17179869202	1018	2	2
17179869203	934	2	2
17179869204	852	2	2
17179869205	807	2	2
17179869206	767	2	2
17179869207	728	2	2
17179869208	643	2	2
17179869209	613	2	2
17179869210	558	2	2
17179869211	505	2	2
17179869212	491	2	2
17179869213	456	2	2
17179869214	447	2	2
17179869215	370	2	2
17179869216	315	2	2
17179869217	241	2	2
17179869218	227	2	2
17179869219	248	2	2
17179869220	276	2	2
17179869221	313	2	2
17179869222	410	2	2
17179869223	316	2	2
17179869224	360	2	2
17179869225	394	2	2
17179869226	419	2	2
17179869227	361	2	2
17179869228	403	2	2
17179869229	445	2	2
17179869230	347	2	2
17179869231	350	2	2
17179869232	320	2	2
17179869233	404	2	2
17179869234	364	2	2
17179869235	323	2	2
17179869236	317	2	2
17179869237	343	2	2
17179869238	144	2	2
17179869239	331	2	2
17179869242	56	2	2
17179869243	819	2	2
17179869244	1029	2	2
17179869245	1486	2	2
17179869246	1977	2	2
17179869247	2562	2	2
17179869248	2968	2	2
19327352839	2968	2	2
19327352840	2735	2	2
19327352841	2403	2	2
19327352842	2159	2	2
19327352843	1954	2	2
19327352844	1779	2	2
19327352845	1640	2	2
19327352846	1474	2	2
19327352847	1294	2	2
19327352848	1195	2	2
19327352849	1081	2	2
19327352850	994	2	2
19327352851	937	2	2
19327352852	873	2	2
19327352853	830	2	2
19327352854	805	2	2
19327352855	692	2	2
19327352856	659	2	2
19327352857	583	2	2
19327352858	543	2	2
19327352859	525	2	2
19327352860	498	2	2
19327352861	475	2	2
19327352862	404	2	2
19327352863	322	2	2
19327352864	264	2	2
19327352865	225	2	2
19327352866	232	2	2
19327352867	290	2	2
19327352868	337	2	2
19327352869	412	2	2
19327352870	331	2	2
19327352871	356	2	2
19327352872	398	2	2
19327352873	437	2	2
19327352874	364	2	2
